id_name,category,price_sar,old_price,sellable_online,link,other_colors,description,designer,dimensions
10407136_IKEA PS LÖMSK,Children's furniture,345,No old price,TRUE,https://www.ikea.com/sa/en/p/ikea-ps-loemsk-swivel-armchair-white-red-10407136/,No,Swivel armchair,Monika Mulder,62x75x59
89228472_TROFAST,Children's furniture,350,No old price,TRUE,https://www.ikea.com/sa/en/p/trofast-storage-combination-white-green-s89228472/,Yes,"Storage combination,          99x44x56 cm",Studio Copenhagen,44x56x99
19102659_TROFAST,Children's furniture,395,No old price,TRUE,https://www.ikea.com/sa/en/p/trofast-storage-combination-light-white-stained-pine-pine-white-s19102659/,Yes,"Storage combination,          94x44x52 cm",Studio Copenhagen,44x52x94
80213074_MICKE,Children's furniture,276,SR 345,TRUE,https://www.ikea.com/sa/en/p/micke-desk-white-80213074/,Yes,"Desk,          105x50 cm",Henrik Preutz,50x75x105
39252756_STUVA / FRITIDS,Children's furniture,425,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-fritids-wardrobe-white-white-s39252756/,Yes,"Wardrobe,          60x50x128 cm",IKEA of Sweden/Ebba Strandmark,50x128x60
59252637_STUVA / FRITIDS,Children's furniture,395,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-fritids-bench-with-toy-storage-white-white-s59252637/,Yes,"Bench with toy storage,          90x50x50 cm",Ebba Strandmark,50x50x90
99228570_TROFAST,Children's furniture,195,No old price,TRUE,https://www.ikea.com/sa/en/p/trofast-storage-combination-white-pink-s99228570/,Yes,"Storage combination,          46x30x94 cm",Studio Copenhagen,30x94x46
80290779_FLISAT,Children's furniture,139,No old price,TRUE,https://www.ikea.com/sa/en/p/flisat-childrens-bench-adjustable-80290779/,No,Children's bench,Sarah Fager,38x45x55
60196358_SUNDVIK,Children's furniture,125,No old price,TRUE,https://www.ikea.com/sa/en/p/sundvik-childrens-chair-white-60196358/,No,Children's chair,IKEA of Sweden,29x55x28
80433486_GODISHUS,Children's furniture,295,No old price,TRUE,https://www.ikea.com/sa/en/p/godishus-chest-of-3-drawers-white-80433486/,No,"Chest of 3 drawers,          60x64 cm","804.334.86 Perfect height for small children. They can easily reach and find things on their own.With the included colourful stickers, you can quickly label the drawers in your own personal way.You can also write with chalk on the sticker to keep track of where you have your things.WARNING! TIPPING HAZARD – Unanchored furniture can tip over. This furniture shall be anchored to the wall with the enclosed safety fitting to prevent it from tipping over.Different wall materials require different types of fixing devices. Use fixing devices suitable for the walls in your home, sold separately.",40x64x60
10091453_TROFAST,Children's furniture,275,No old price,TRUE,https://www.ikea.com/sa/en/p/trofast-frame-white-10091453/,No,"Frame,          99x44x94 cm",Studio Copenhagen,44x94x99
19275075_STUVA / FRITIDS,Children's furniture,1545,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-fritids-wardrobe-white-white-s19275075/,Yes,"Wardrobe,          120x50x192 cm",Ebba Strandmark/IKEA of Sweden,50x192x120
