title,origin,language_rank
CFML,1995 - Jeremy Allaire,542
KiXtart,1991 - NA,575
Pizza,2001 - NA,568
NewtonScript,1993 - Walter Smith,569
AssemblyScript,2017 - NA,548
Velato,2009 - NA,554
Information Presentation Facility,1997 - NA,566
Djot,2022 - John MacFarlane,490
Emojicode,2016 - Theo Weidmann,524
Rust MIR,2016 - NA,574
Plain English,2018 - Gerry Rzeppa and Dan Rzeppa,560
PIC microcontroller,1975 - NA,469
LotusScript,1996 - NA,584
DRAKON,1996 - Stepan Mitkin,477
Microsoft Macro Assembler,1981 - NA,474
beads-lang,2016 - Edward de Jong,573
flowchart.fun,2021 - Rob Gordon,513
Svelte,2019 - Rich Harris,556
JADE,1996 - NA,587
Pharo,2008 - NA,588
PROMETHEUS,2012 - Matt T. Proud,557
Ghostscript,1988 - NA,486
Mirah,2009 - Charles Oliver Nutter,515
Sqlalchemy,2006 - Michael Bayer,559
CPL,1963 - Christopher Strachey,601
Modula,1975 - Niklaus Wirth,602
Asm.js,2013 - NA,482
Microdata HTML,2013 - NA,509
BlitzPlus,2003 - NA,594
Bel,2019 - Paul Graham,595
ACT-III,1956 - NA,598
Papyrus,2015 - NA,551
Clarion,1986 - NA,603
VRML,1994 - NA,493
progsbase,2018 - Martin F. Johansen,517
Spin,2006 - NA,591
Readable,2018 - Lépine Kong,592
CSV,1972 - NA,607
XeTeX,2004 - NA,608
SQLPL,2009 - NA,609
ThinBasic,2004 - NA,610
KML,2007 - NA,502
ARexx,1987 - NA,616
CLOS,1988 - NA,617
PAWN,2006 - NA,522
Uno,2002 - NA,544
Alice,2000 - NA,618
Futhark,2013 - Troels Henriksen and Cosmin Oancea and Martin Elsman,539
CSON,2011 - Benjamin Lupton,531
JSON-stat,2011 - Xavier Badosa,599
ALGOL 58,1958 - NA,499
QR code,1994 - NA,577
JAI,2014 - Jonathan Blow,534
Nial,1981 - Mike Jenkins,624
Yoix,2000 - Rich Drechsler and John Mocenigo,605
S3,1986 - NA,619
CodeQL,2018 - Pavel Avgustinov,582
mgmt,2015 - James Shubin,567
Simple Binary Encoding,2013 - NA,580
Felix,2001 - John Skaller,526
MBASIC,1983 - NA,506
Troff,1973 - NA,507
JavaCC,1996 - NA,510
kaitai,2016 - Mikhail Yakshin,571
FLOW-MATIC,1955 - Grace Hopper,629
mustache,2009 - Chris Wanstrath,578
NetLinx,2007 - NA,612
Concise Encoding,2018 - Karl Stenerud,614
blockml,2014 - NA,615
Slope,2021 - Sloum,533
Jakt,2022 - NA,558
BNF,1956 - John Backus and Peter Naur,532
Fuzzy Markup Language,2004 - NA,623
P4,2014 - NA,528
Nushell,2019 - Yehuda Katz,589
Curl,1998 - Steve Ward,583
Visual Prolog,1996 - NA,643
GML,1969 - Charles Goldfarb and Edward Mosher and Raymond Lorie,644
Aldor,1990 - Richard Dimick Jenks and Barry Trager and Stephen Watt and James Davenport and Robert Sutor and Scott Morrison,637
Mathcad,1986 - NA,523
mavo,2015 - Lea Verou,585
Joy,2001 - Manfred von Thun,654
QMake,2002 - NA,639
ProvideX,1992 - Michael F. King,640
XProc,1990 - NA,648
Cobra,2006 - Charles Esterbrook,649
Cyclone,2001 - NA,656
Lisaac,2003 - NA,657
UTC,1960 - NA,596
Advanced Message Queuing Protocol,2003 - NA,549
TI MSP430,2009 - NA,527
LookML,2012 - NA,638
Rockstar,2018 - Dylan Beattie,664
JSFuck,2012 - Martin Kleppe,646
Angelscript,2003 - Andreas Jönsson,563
Dojo,2005 - Alex Russal,604
Apex,2007 - NA,653
Triton,2021 - Philippe Tillet,621
Pop-11,1999 - NA,683
Z shell,1990 - Paul Falstad,576
MQL5,2005 - NA,553
Volt,2011 - NA,579
DM,1994 - NA,662
BBC BASIC,1981 - NA,628
Karel,1981 - Richard E. Pattis,678
JSONiq,2011 - NA,679
chaiscript,2009 - NA,622
DIGITAL Command Language,1997 - NA,682
Linden Scripting Language,2003 - NA,669
Tea,1997 - NA,688
NCAR Command Language,1994 - NA,572
J#,2002 - NA,552
GDScript,2008 - NA,681
fay,2012 - Chris Done,597
BeanShell,1999 - NA,705
FutureBASIC,1992 - NA,706
Eclipse Command Language,2008 - NA,690
GOLD,2012 - NA,713
CSS Doodle,2017 - Yuan Chuan,651
PIC,1988 - NA,697
PowerBASIC,1989 - NA,716
Turbo Basic,1987 - NA,723
ShaderLab,2000 - NA,703
dat-protocol,2013 - Max Ogden,625
Filebench WML,2011 - Vasily Tarasov,590
BPEL,2001 - NA,564
docopt,2012 - Vladimir Keleshev,626
Meson,2013 - NA,718
Vimwiki,2008 - Maxim Kim,627
TSV,1993 - NA,570
sizzle,2008 - NA,630
Dartmouth BASIC,1964 - John G. Kemeny and Thomas E. Kurtz,729
Up-arrow notation,1976 - Donald Knuth,586
Desmos,2011 - Eli Luberoff,632
edgedb,2017 - NA,634
PCRE,1997 - Philip Hazel,581
Gettext Catalog,1990 - NA,667
StarOffice Basic,2000 - NA,730
Creole,2007 - NA,600
