title,origin,language_rank
LIMDEP,1980 - NA,2164
SASL,1972 - David Turner,2165
Atom,2007 - Thomas Hawkins,2166
grid-notation,2013 - Cameron McEfee,2177
fork-lang,2014 - NA,2178
MewMew,2020 - Palash Bauri,2180
Snit,2002 - NA,2235
NCAR Command Language,1990 - NA,2236
Khepri,2012 - Matt Bierner,2181
Typographical Number Theory,1979 - Douglas Hofstadter,2182
SISC,2007 - NA,2183
Scheme 2-D,2021 - elucent,2184
Secure Operations Language,1970 - NA,2185
UNCOL,1958 - NA,2186
sugartex,2018 - NA,2187
Alpha,1971 - NA,2188
ALTRAN,1968 - W. Stanley Brown,2189
PowerHouse,1988 - NA,2190
y-lang,2019 - Sander Mertens,2234
Calypso,2020 - ThePuzzlemaker,2237
Mama,2010 - NA,2238
ZigZag,1965 - NA,2240
Actor,1988 - NA,2241
Gello Expression Language,2001 - NA,2242
OMeta,2007 - NA,2243
NPL,1977 - NA,2244
SR,1988 - NA,2245
IFPS,1970 - NA,2246
Matita,1999 - NA,2247
Abstract State Machine Language,2001 - NA,2248
CA-Telon,1981 - NA,2249
Lynx,1984 - NA,2250
PIKT,1998 - NA,2251
Snowball,1971 - NA,2252
whack,2018 - Onchere Bironga,2253
Distributed Application Specification Language,1999 - NA,2254
preforth,2018 - Ulrich Hoffmann,2255
Smalltalk MT,1994 - NA,2257
MINC,1985 - NA,2258
OWBasic,2000 - NA,2259
Phoenix Object Basic,2001 - NA,2260
Occam π,2005 - NA,2309
quaint-lang,2015 - NA,2313
Gauche Scheme implementation,1998 - NA,2318
Ecological Metadata Language,1997 - NA,2326
muMath,1978 - NA,2327
PALcode,1996 - NA,2328
PICT,1992 - NA,2329
YAP,1985 - NA,2330
IBM HAScript,1990 - NA,2333
PL-11,1971 - NA,2334
ROOP,1995 - NA,2335
ZOPL,1979 - NA,2336
Kermeta,2012 - NA,2337
FX-87,1987 - NA,2338
JAWS Scripting Language,2008 - NA,2339
MacroML,2001 - NA,2340
remix,2016 - Jay McCarthy,2341
ShEx,2012 - NA,2342
Business Object Notation,1989 - NA,2343
CYBIL,1980 - NA,2344
Datapoint's Advanced Systems Language,1982 - NA,2345
FORMAC,1993 - Jean E. Sammet,2346
neutron,2019 - NA,2347
emerald-lang,2019 - Zach Perkitny,2348
Ad-hoc,2017 - NA,2349
polymath,2020 - JL,2350
Edina,2022 - Cerus,2351
rocket,2018 - NA,2352
Jammy,2021 - Mark,2353
nlpl,2018 - Daniel Garcia,2354
lsd,2016 - NA,2355
Calc4,2018 - Yuya Watari,2356
eskew,2019 - NA,2357
Serious,2021 - lorentzj,2358
boa,2013 - NA,2359
c-talk,1999 - Konstantin Knizhnik,2360
Freefem,2000 - NA,2361
hilbert,2014 - NA,2362
Lush,2002 - Leon Bottou and Yann Le Cun,2363
pikachu,2017 - NA,2364
Spice,2021 - NA,2365
ttsneo,2006 - NA,2366
Typoscript,1998 - NA,2367
Algae,1997 - NA,2368
ASCII Armor,2007 - NA,2369
Homespring,2003 - NA,2370
PLAIN,1976 - NA,2371
Post-X,1980 - P.A.C. Bailes and L.H. Reeker,2372
prompter,2011 - Graham Nelson,2373
ssl-lang,1976 - NA,2374
Squire,2021 - Sam Westerman,2299
Subtext,2005 - NA,2300
CAL Actor Language,2001 - NA,2301
FuzzyCLIPS,1995 - NA,2302
Tektronix 4050,1980 - NA,2303
Information Algebra,1962 - NA,2304
PVS,1992 - NA,2305
Real-time Cmix,1992 - NA,2306
Strand,1989 - NA,2307
Actor-Based Concurrent Language,1986 - NA,2308
SBASIC,1983 - NA,2314
Tiger-BASIC,1986 - NA,2315
IBM Rational SQABasic,1996 - NA,2316
High Tech BASIC,1988 - NA,2332
Mentat,1987 - Andrew S. Grimshaw and Jane W.S. Liu,2395
BlazeX,2020 - RoMeAh,2310
setlx,2011 - NA,2311
Knight,2021 - Sam Westerman,2312
Hook,2021 - Fabio de Souza Villaca Medeiros,2317
Hummingbird QuickScript,1990 - NA,2331
Stratego/XT,1998 - NA,2319
DAML+OIL,2001 - NA,2320
SIMPLE,1980 - NA,2321
XCore Architecture,2007 - NA,2322
Advanced Continuous Simulation Language,1967 - NA,2323
Averest,2005 - NA,2324
EUMEL,1979 - NA,2325
Secure Scuttlebutt,2014 - NA,2388
flame-ir,2015 - NA,2375
toki sona,2021 - Dylan Madisetti,2376
CokeScript,2015 - Batiste Bieler,2377
Common Log Format,1995 - NA,2389
Ethernet,1973 - NA,2390
Open Financial Exchange,1997 - NA,2391
patch,1985 - Larry Wall,2392
Autoconf,1991 - NA,2393
Interpress,1986 - NA,2394
XGMML,2006 - NA,2378
FILETAB,1966 - NA,2379
Service Modeling Language,2009 - NA,2380
SA-C,1998 - NA,2381
BEFLIX,1963 - NA,2382
Data Access Language,1990 - NA,2383
CorVision,1986 - NA,2384
IAL,1958 - NA,2385
Joe-E,2004 - David A. Wagner,2386
O-Matrix,1994 - NA,2387
CHIP,1985 - NA,2406
DATATRIEVE,1970 - NA,2407
AIML,2001 - NA,2409
System 2,2008 - NA,2410
AMBIT,1964 - Carlos Christensen,2420
Insitux,2021 - Patrick Bowen,2421
o:XML,2002 - NA,2422
Cane,2022 - Jack Clarke,2423
sill,2015 - Dennis Griffith,2424
Business application language,1974 - NA,2425
IITRAN,1969 - NA,2426
r3,2021 - Pablo H. Reda,2427
Tefkat,2004 - NA,2428
Compact Application Solution Language,1997 - NA,2429
FXScript,2002 - NA,2430
ProSet,1990 - NA,2431
runiq,2015 - NA,2432
20-GATE,1961 - NA,2433
Citrine,2014 - NA,2434
PCrap,2021 - valkarias,2435
RigC,2021 - Poeta Kodu,2436
Chika,2019 - Patrick,2437
latte-js,2012 - Sean Micklethwaite,2438
duro,2003 - NA,2439
Lesma,2022 - Alin Ali Hassan,2440
HuwCode,2018 - Huw Pritchard,2441
penguor,2020 - Carl Schierig,2442
taxa,2014 - Dan Motzenbecker,2443
acorn-lang,2015 - Jonathan Goodwin,2444
newclay,2011 - Joe Groff,2445
Idio,2015 - Ian Fitchet,2446
Mewl,2022 - Palash Bauri,2447
codeflow,2014 - NA,2448
Storymatic,2022 - Zachary Sakowitz,2449
Esoteric Reaction,2020 - NA,2450
Horse64,2020 - Ellie,2451
passambler,2015 - NA,2452
rockstar-rkt,2019 - NA,2453
Workfl,2019 - Adam Dullage,2454
GamerLanguage,2021 - Dilan Nair,2455
Entropy,2021 - Daniel Temkin,2456
links,2016 - NA,2457
Loom,1987 - NA,2458
o42a,2010 - Ruslan Lopatin,2459
operon,2018 - NA,2460
Planguage,2001 - NA,2461
runic,2017 - NA,2462
SARL,2013 - NA,2463
Suneido,2000 - Andrew McKinlay,2464
whalecalf,2000 - Alexander Okhotin,2465
DAS,1962 - NA,2466
g-expressions,2012 - NA,2467
Metaweb Query Language,2006 - NA,2468
Newton,1977 - NA,2469
Pandora,1989 - NA,2470
PSI,2013 - NA,2471
rapidgen-rpl,1983 - NA,2472
rbscript,1996 - NA,2473
Rust HIR,2015 - NA,2474
WebAssembly Text Format,2015 - NA,2475
xduce,2003 - Haruo Hosoya and Benjamin C. Pierce,2476
euboea,2018 - NA,2396
WLambda,2019 - Weird Constructor,2397
zlang,2017 - NA,2398
Nuprl,1984 - Robert Lee,2399
ABSYS,1966 - NA,2400
KL0,1982 - NA,2401
AIL,2016 - NA,2402
cql,1998 - NA,2403
nulan,2012 - NA,2404
QUTE,1986 - NA,2405
Hot Cocoa Lisp,2013 - Sam Auciello,2408
XDR Schema,1998 - NA,2411
Schema for Object-Oriented XML,1998 - NA,2412
COFFEE Cinema 4D,1992 - NA,2413
Visual DialogScript,2000 - NA,2414
Bayer Expressions,2018 - Dave Bayer,2501
ed script,1973 - NA,2502
Datomic,2012 - NA,2416
cytosol,2020 - tiatomee,2418
IpTables Rope,2005 - NA,2419
Sort Merge Generator,1951 - NA,2477
CLX,1985 - NA,2478
Scriptol,2001 - NA,2479
Adenine,1999 - NA,2480
Lagoona,1997 - NA,2481
TACPOL,1976 - NA,2482
MARIA XML,2009 - NA,2483
BBj,2001 - NA,2415
BBx,1985 - NA,2417
Yakou Lang,2021 - KyleLin921021,2484
Typecast.js,2013 - Bishop Zareh,2485
Curly,2021 - jenra,2486
Rye,2019 - Janko Metelko,2487
R2ML,2003 - NA,2488
JSML,2001 - NA,2489
SYMBOLIC ASSEMBLY,1956 - NA,2490
SheerPower4GL,2000 - NA,2491
FleXML,2001 - NA,2492
GRML,2003 - NA,2493
Robic,1975 - NA,2494
ThingLab,1979 - NA,2495
51forth,1980 - NA,2496
Concurrent METATEM,1993 - NA,2497
LispMe,2008 - NA,2498
Met-English,1950 - NA,2499
ObjectPAL,1993 - NA,2500
Tag Line Commands,2015 - Michael Chance,2518
daonode,2011 - Simeon Chaos,2503
RustScript,2021 - Mikail Khan,2504
mawk,1991 - NA,2505
shadama,2017 - Yoshiki Ohshima and Dan Amelang and Bert Freudenberg,2506
rio,2017 - NA,2507
RicScript,2019 - Rickard,2508
RunRev,2003 - NA,2509
XMTC,1990 - NA,2510
APE100,1995 - NA,2511
BasicX,1998 - NA,2512
RASP,1988 - NA,2513
CaPSL,1989 - NA,2514
CorbaScript,1998 - NA,2515
Bizubee,2015 - Gabe and Gabe,2516
KavaScript,2021 - Maxime Chevalier-Boisvert,2517
Octune,2021 - Gary Feng,2520
Baby modula-3,1993 - NA,2525
Hbasic,2007 - NA,2526
mlpolyr,2016 - Nicolas Ojeda Bar,2527
Multi-user BASIC,1980 - NA,2528
Riff,2020 - Darryl Abbate,2533
Cotton,2021 - Mado Nanika,2599
ForthScript,2020 - Yuriy Zamyatin,2600
lamderp,2013 - James Keane,2601
Iode,2015 - Danilo Lekovic,2602
PearScript,2016 - Ondřej Kocián,2603
woe,2009 - NA,2604
H++,2013 - Harold L. Marzan,2605
Jingo,2020 - Owez,2606
Hina,2020 - Mark,2607
microl,2021 - Mike Redko,2608
Fern,2022 - Spencer Comin,2609
MeanscriptCLI,2020 - jussehoo,2610
cosh,2022 - NA,2611
mountain,2019 - NA,2612
lambcalc,2019 - William Rutherford,2613
Broccoli,2020 - CoconutMacaroon,2614
draconian,2021 - Hextanium,2615
mai,2019 - Ahmed Khaled,2616
8th,2014 - NA,2617
arvelie-format,2017 - NA,2618
converge,2004 - NA,2619
Flare,2001 - Dmitriy Myshkin and Eliezer Yudkowsky and Mike Li and Michael Baj and Richard Walker,2620
michelson,2017 - Grégoire Henry,2621
MINI OBJECT-ORIENTED LANGUAGE,2010 - NA,2622
plasma,2015 - NA,2623
Timpani,2017 - Pouya Kary,2624
AArch64,2011 - NA,2625
CLASS,1970 - NA,2626
Edison,1992 - NA,2627
Electre,1983 - NA,2628
EverParse3D,2022 - Nikhil Swamy and Tahina Ramananandro and Aseem Rastogi and Irina Spiridonova and Haobin Ni and Dmitry Malloy and Juan Vazquez and Michael Tang and Omar Cardona and Arti Gupta,2629
GRIN,1977 - NA,2630
guru,2009 - NA,2631
iikuse,2010 - NA,2632
manticore,2009 - NA,2633
Nelua,2019 - NA,2634
PLEASE,1984 - NA,2635
Seq,2019 - NA,2636
strudel,2011 - NA,2637
V,1997 - Mikhail Auguston and Alfredo Delgado,2638
XML Query Language,1998 - NA,2639
xt3d,2000 - Shriram Krishnamurthi and Kathryn E. Gray and Paul T. Graunke,2640
MathJax,2008 - NA,2532
nirvana,2018 - NA,2519
truck,2019 - Anmol Gautam,2521
X-BASIC,1987 - NA,2522
t-lang,2019 - Justin Hu,2523
Xupdate,2000 - NA,2524
LSP,2016 - NA,2534
JMAP,2019 - NA,2535
PSYCO,2007 - NA,2536
alfred,1972 - NA,2537
Linoleum (L.in.oleum),1996 - Alessandro Ghignola,2538
GraphQL+-,2017 - NA,2529
mockingbird-notation,1996 - David C. Keenan,2530
kernel,2009 - NA,2531
Attic numerals,-600 - NA,2539
Feynman diagram,1948 - NA,2540
Greek numerals,-300 - NA,2541
Roman numerals,-900 - NA,2542
SPARQCode,2010 - NA,2543
ALOHAnet,1971 - NA,2544
CueCat,2000 - NA,2545
Etruscan numerals,-700 - NA,2546
Liber Abaci,1202 - NA,2547
Visual J++,1996 - NA,2548
SK8,1988 - NA,2549
Vienna Development Method Specification Language,1996 - NA,2550
Address,1955 - Kateryna Lohvynivna Yushchenko,2551
HCCB,2007 - NA,2552
HLASM,1992 - NA,2553
Ingres database,1974 - NA,2554
IPv4,1984 - NA,2555
Language H,1962 - NA,2556
OpenDoc,1993 - NA,2557
PL/I,1981 - NA,2558
Set-builder notation,1942 - NA,2559
SYBYL line notation,1997 - NA,2560
Wiswesser line notation,1949 - NA,2561
InterPlanetary File System,2015 - NA,2562
nroff,1972 - Joe Ossanna,2563
QFX file format,1997 - NA,2564
Razor,2010 - NA,2565
Schoonschip,1963 - NA,2566
STRINGCOMP,1967 - NA,2567
ALGOL X,1963 - NA,2568
Lincos,1961 - NA,2569
Molecular Query Language,2007 - NA,2570
Semi-Thue,1914 - Axel Thue,2571
Superplan,1951 - Heinz Rutishauser,2572
Advice Taker,1958 - John McCarthy,2573
BBN-LISP,1960 - NA,2574
eqn,1974 - NA,2575
HyperFun,1999 - NA,2576
Kyma,1986 - NA,2577
Macintosh Common Lisp,1984 - NA,2578
Object Definition Language,1991 - NA,2579
ObjVlisp,1984 - NA,2580
PM2,1989 - NA,2581
Prolog++,1994 - NA,2582
FLANG,1988 - NA,2583
General Activity Simulation Program,1961 - NA,2584
Iota-and-jot,2001 - NA,2585
Little Smalltalk,1987 - NA,2586
Optimization Programming Language,1999 - Pascal Van Hentenryck,2587
Shared Dataspace Language,1988 - NA,2588
DAD,2015 - Scott Ambler and Mark Lines,2589
Gofer,1994 - NA,2590
Programming Language for the University of Maryland,1978 - NA,2591
Interscript,1984 - NA,2592
Nyquist,1997 - Roger Dannenberg,2593
Rosetta-2,2006 - Apple Inc,2594
Definite clause grammar,1980 - NA,2595
Language for Your Remote Instruction by Computer,1966 - NA,2596
ZPL,1993 - NA,2597
Swym,2012 - Laurie Cheers,2598
LOGIN,1986 - NA,2641
Bistro,1999 - Nikolas S. Boyd,2648
gfoo,2020 - NA,2649
SMILES arbitrary target specification,1987 - David Weininger,2689
Moescript,2012 - Renzhi Li aka. Belleve Invis,2691
tridash,2018 - NA,2692
wats,2017 - Pierre Rossouw,2693
weebasic,2021 - Maxime Chevalier-Boisvert,2694
FutureScript,2015 - Zhenzhen Zhan,2696
TextFrame,2008 - Mark Norman Francis,2697
Broccoli,2008 - Fogus,2698
stacklang,2018 - Justin Hu,2699
psyche,2018 - NA,2700
Broccoli,2022 - Mathieu CAROFF,2701
clox,2020 - NA,2702
rlox,2004 - NA,2703
Biological Expression Language,2003 - NA,2704
datev,2017 - Markus Voelter and Sergej Koˇsˇcejev,2705
eta,2017 - NA,2706
foundry,2013 - NA,2707
grain,2017 - NA,2708
habit,2016 - NA,2709
Linked Markdown,2022 - Luis Cuende,2710
liquidity,2017 - NA,2711
mypy,2012 - NA,2712
ScriptEase,2001 - NA,2713
tablatal,2017 - NA,2714
Afnix,2003 - NA,2715
arrow,2015 - NA,2716
axt-format,2004 - NA,2717
Browser Extensible Data Format,2004 - NA,2718
DUEL,1993 - NA,2719
EQS,1978 - NA,2720
EZ,1984 - NA,2721
Interleaved Notation,2022 - Michael Homer,2722
OASIS,1994 - NA,2723
PAMELA,1992 - NA,2724
Titanium,1998 - NA,2725
w,2019 - NA,2642
Moby,1998 - NA,2643
algobox,2011 - NA,2644
COMSOL Script,1998 - NA,2645
Nosica,2002 - David Jobet,2646
beagle,2019 - Alex Couch,2647
BitC,2004 - NA,2650
Boxx,2002 - NA,2651
Hyper Basic,1985 - NA,2652
MetaL,2001 - NA,2653
Monesa,2002 - NA,2654
Scieneer Common Lisp,2002 - NA,2655
Smalltalk YX,2007 - NA,2656
Tibbo BASIC,2000 - NA,2657
TouchDevelop,2012 - NA,2658
UJML,2000 - NA,2659
WinDev,1993 - NA,2660
Wlanguage,1992 - NA,2661
XProfan,1990 - NA,2662
Bigwig Programming Language,1998 - NA,2663
Deesel,2005 - NA,2664
Seph,2010 - NA,2665
Simkin,1995 - NA,2666
Timber,1999 - NA,2667
Micro-PROLOG,1980 - NA,2668
Superx++,2001 - NA,2669
CHAIN,1981 - NA,2670
Escapade,1977 - NA,2671
Izibasic,2004 - NA,2672
M,2008 - NA,2673
Mocklisp,1981 - NA,2674
Moonrock Basic Compiler,1994 - Rowan Crowe,2675
Omikron BASIC,1985 - NA,2676
PROC procedure language,1986 - NA,2677
Bon,1967 - NA,2678
Marmot,2000 - NA,2679
Portal langage,1978 - NA,2680
PowerLanguage,1997 - NA,2681
HTTP/3,2018 - NA,2682
MUSP,1960 - NA,2683
NGL,2001 - NA,2684
Klerer-May System,1964 - NA,2685
Legal Knowledge Interchange Format,2007 - NA,2686
OPL,1989 - NA,2687
iScript,2008 - NA,2688
SNOBOL4,1967 - NA,2726
tsar,2019 - adam-mcdaniel,2690
RoyalScript,2016 - Josh Weinstein,2695
dreamlisp,2019 - NA,2727
Tawa,2021 - Jan Blackquill,2728
Sugi,2021 - sugi-lang,2730
calc,2013 - NA,2942
darklang,2019 - NA,2943
dio,2020 - NA,2944
enso,2011 - Alex Loh,2945
Extempore,2011 - NA,2946
goose,2018 - NA,2947
imp-lang,2019 - NA,2948
JMESPath,2013 - NA,2949
juttle,2014 - NA,2950
kilo-lisp,2019 - NA,2951
lasp,2015 - NA,2952
PacmanConf,2019 - NA,2953
Omega,2019 - NA,2954
pgql,2016 - NA,2955
PickCode,2021 - NA,2956
PkgConfig,2000 - NA,2957
plumb,2014 - NA,2958
PSeInt,2003 - NA,2959
robotc,2005 - NA,2960
rosie,2015 - NA,2961
versioned-text-markup-language,1999 - NA,2962
ABEL,1979 - NA,2964
BOLT,1981 - NA,2965
CCS,1999 - NA,2966
Chimera,1994 - NA,2967
Descartes,1983 - NA,2968
DINO,1990 - NA,2969
DLP,1992 - NA,2970
HScript,1996 - NA,2971
Lila,2017 - NA,2972
Lorel,1996 - Serge Abiteboul and Dallan Quass and Jason McHugh and Jennifer Widom and Janet L. Wiener,2973
MDL,1992 - NA,2974
PAISley,1982 - NA,2975
Relational Data File,1965 - NA,2976
RAISE Specification Language,1992 - NA,2977
SCAN,1987 - NA,2978
Statement List,1993 - NA,2979
Timeless Instruction Set (TL ISA),2022 - NA,2980
UnQL,2000 - Peter Buneman and Mary Fernandez and Dan Suciu,2981
WATFOR,1966 - NA,2982
Wikitax,2002 - NA,2983
IT,1955 - Alan Perlis,2963
SQHTML,2022 - Katrina Grace,2729
Hedy,2020 - NA,2731
Floral,2020 - NA,2732
unlws,2010 - NA,2733
thune,2014 - NA,2734
BIPLAN,2017 - Giovanni Blu Mitolo,2735
bytecode-modeling-language,2008 - NA,2736
coi-protocol,2019 - NA,2737
Datalisp,2020 - ilmu,2738
Farcaster,2021 - NA,2739
iqr,1994 - NA,2740
lunar,2017 - David A. Moon,2741
marten,1980 - NA,2742
Plush,2017 - Maxime Chevalier-Boisvert,2743
rsharp,2003 - NA,2744
scopes,2016 - Leonard Ritter,2745
stx,1999 - NA,2746
unicon-adl,1996 - NA,2747
Vortex,2020 - Christopher Lewis,2748
aubit-4gl,2001 - NA,2749
BScript,1999 - NA,2750
chicken-lang,2013 - NA,2751
cixl,2018 - NA,2752
clickpath,2011 - NA,2753
Coral,2017 - NA,2754
domino,1989 - NA,2755
frtime,2004 - NA,2756
hac,2007 - NA,2757
hsaml-format,2013 - NA,2758
Imandra Protocol Language,2017 - NA,2759
klisp,1958 - NA,2760
Lanai,2016 - NA,2761
listdown,2017 - NA,2762
Mascara,2009 - Olav Junker Kjær,2763
paperalgo,2014 - Kragen Javier Sitaker,2764
powerloom-knowledgeBase,1999 - NA,2765
rlmeta,2018 - Rickard Lindberg,2766
sepi,2012 - NA,2767
shade,2012 - NA,2768
shml,2015 - NA,2769
SmartGameFormat,1987 - NA,2770
SNBT,2011 - NA,2771
tab,2015 - NA,2772
teal,1987 - NA,2773
underlay,2018 - NA,2774
yinyang,2013 - NA,2775
Arturo,2019 - Yanis Zafirópulos,2776
BRL,1997 - NA,2777
business-rule-language,2012 - NA,2778
bx,1990 - NA,2779
Cheri,2010 - NA,2780
ctalk,2006 - Robert Kiesling,2781
dec64,2009 - NA,2782
gemini-protocol,2020 - NA,2783
Gnome Basic,1999 - NA,2784
General purpose,2015 - NA,2785
helium,2003 - NA,2786
holonforth,1989 - NA,2787
objective-modula-2,2009 - NA,2788
qbe,2015 - NA,2789
Radish,2022 - NA,2790
readable-lisp,2013 - NA,2791
rhoscript,2013 - NA,2792
Restricted Python,2007 - NA,2793
sharpscript,2019 - NA,2794
sierra,2018 - NA,2795
slim-pl,1999 - Herman Venter,2796
tengo,2019 - NA,2797
Lambda Diagrams,2014 - John Tromp,2798
uml2-sp,2018 - NA,2799
Wolfram Data Framework,2014 - NA,2800
atomo,2010 - NA,2801
B3 IR,2016 - NA,2802
blank,2018 - NA,2803
Blueprints,2014 - NA,2804
C^3,2009 - NA,2805
c-smile,2002 - Andrew Fedoniouk,2806
calc_var,2013 - NA,2807
chaos-lang,2020 - NA,2808
Cobol.NET,2002 - NA,2809
coffeepp,2017 - NA,2810
dfns,2014 - NA,2811
dss,2018 - NA,2812
emu,2019 - NA,2813
fmj,2003 - NA,2814
Genshi Text,2020 - NA,2815
klong,2015 - NA,2816
kogut,2004 - NA,2817
koi,2010 - NA,2818
minihaskell,2013 - NA,2819
miniprolog,2013 - NA,2820
mir,2015 - NA,2821
mlite,2004 - NA,2822
piccola,2002 - NA,2823
pyke,2008 - Paul Haesler and Bruce Frederiksen,2824
Python Format Specification,2008 - NA,2825
ra,2015 - Omar Ahmad,2826
redscript,2013 - NA,2827
retroforth,2000 - Charles Childers,2828
The Synthetic Biology Open Language,2010 - NA,2829
sentient,2016 - NA,2830
seph,2013 - NA,2831
simit,2016 - NA,2832
singular,1987 - NA,2833
skookumscript,2004 - NA,2834
socialite,2015 - NA,2835
SOQL,2006 - NA,2836
souffle,2019 - NA,2837
soul,2000 - NA,2838
squiggle,2015 - NA,2839
sub,2013 - NA,2840
tern,2019 - NA,2841
terse,1986 - NA,2842
tetra,2017 - NA,2843
texpr,2013 - NA,2844
thorn,2014 - NA,2845
tilton,2000 - Douglas Crockford,2846
typedefs,2017 - NA,2847
Zoem,2005 - NA,2848
AIR,2016 - NA,2849
BUSH,2002 - NA,2850
chirp,2008 - NA,2851
cloe,2018 - NA,2852
comm,2013 - NA,2853
CorelScript,1994 - NA,2854
crack,2011 - NA,2855
Descript,2018 - Jakob Hain,2856
D++,1999 - Daniel Smith,2857
DRAGOON,1989 - NA,2858
flux-lang,2006 - NA,2859
fox,2017 - NA,2860
GSQL,2015 - NA,2861
JSGF,1998 - NA,2862
lambda,2013 - NA,2863
levy,2013 - NA,2864
loglo,2020 - NA,2865
miniml,2013 - NA,2866
New AWK,1993 - NA,2867
oforth,2009 - NA,2868
orca-lang,2014 - Karl Robillard,2869
polly,2016 - NA,2870
poly,2013 - NA,2871
raptor,2015 - NA,2872
RQL,2017 - NA,2873
ru,2015 - NA,2874
shill,2014 - NA,2875
Smithy,2016 - NA,2876
SOSL,2006 - NA,2877
stringbean,2016 - NA,2878
subscript,2012 - NA,2879
Table Query Language,1997 - NA,2880
toadskin,2003 - NA,2881
TWiki,1998 - NA,2882
ugnis,2017 - NA,2883
Visual Logic,2005 - NA,2884
woofjs,2016 - NA,2885
xmpp-protocol,2003 - NA,2886
antha,2014 - NA,2887
arend,2019 - NA,2888
bjou,2019 - NA,2889
charly,2017 - NA,2890
circa,2012 - NA,2891
cleanlang,2017 - Santosh Rajan,2892
cx,2015 - NA,2893
edgeql,2017 - NA,2894
Elpi,2014 - Enrico Tassi,2895
eno,2018 - NA,2896
GNS,2018 - NA,2897
helena,2017 - NA,2898
hello,2015 - NA,2899
Hilltop,2018 - Dan Swirsky,2900
joker,2018 - NA,2901
kima,2018 - NA,2902
l,2013 - NA,2903
min,2017 - NA,2904
neralie-format,2017 - NA,2905
none,2015 - Leonard Ritter,2906
Ordered graph data language,2002 - NA,2907
OpenSpice,2005 - Stephen Leach,2908
par,2018 - NA,2909
pisc,2017 - NA,2910
plink-bim-format,2007 - NA,2911
plink-fam-format,2007 - NA,2912
potential,2010 - Tim Carstens,2913
prodel,2014 - NA,2914
sdf-format,2012 - NA,2915
statebox,2008 - NA,2916
syndicate,2016 - NA,2917
Typst,2022 - Laurenz Mädje,2918
urn,2017 - NA,2919
C∀,2018 - NA,2920
Clausal Language,1997 - NA,2921
ctr,2017 - NA,2922
Dimensional Script,2012 - NA,2923
Fawlty,2006 - NA,2924
goby,2017 - NA,2925
kayia,1999 - David Broderick,2926
ki,2014 - NA,2927
libsvm-format,2011 - NA,2928
merd,2002 - Yoann Padioleau,2929
morfa,2015 - NA,2930
nectar,2016 - NA,2931
np,2013 - NA,2932
NU-Prolog,1988 - NA,2933
panther-lang,2010 - NA,2934
paxScript,2011 - Alexander Baranovsky,2935
pliant,1999 - NA,2936
plink-map-format,2007 - NA,2937
shakti,2019 - NA,2938
skew,2015 - Evan Wallace,2939
T3X,1995 - NA,2940
tiddler,2004 - NA,2941
Alma,1997 - NA,2991
AlpHard,1996 - NA,2992
BABEL,1990 - NA,2993
COPE,1977 - NA,2994
cT,1989 - NA,2995
EDUCE,1986 - NA,2996
Friendly Enough Expression Language,2015 - NA,2997
gnu-rtl,1987 - NA,2998
INQUIRE,1969 - NA,2999
Lighttpd configuration file,2003 - NA,3000
MADCAP VI,1972 - NA,3001
McLeyvier Command Language,1982 - NA,3002
Modified Integration Digital Analog Simulator,1963 - NA,3003
O++,1989 - NA,3004
order,2003 - Vesa Karvonen,3005
Perfectscript,1995 - NA,3006
PO,2000 - NA,3007
PROSPER,1989 - NA,3008
SBA,1977 - NA,3009
School,1990 - NA,3010
SNQL: A Social Network Query and Transformation Language,2011 - NA,3011
Spill,1997 - NA,3012
UnQL,2011 - Richard Hipp and Damien Katz,3013
WebGPU Shading Language,2020 - NA,3014
XE,1988 - NA,3015
XQL,1998 - Hiroshi Ishikawa and Kazumi Kubota and Yasuhiko Kanemasa,3016
Cish,2022 - NA,2988
SIMAN,1983 - NA,2989
Zeta,2008 - Russ Cox and Tom Bergan† and Austin T. Clements and Frans Kaashoek and Eddie Kohler,2990
SNOBOL3,1996 - NA,2984
Vienna Definition Language,1965 - NA,2985
CDL,1995 - Christian Hochberger,2986
FORTRAN 77,1977 - NA,2987
ACCENT,1990 - NA,3017
Argos,1992 - NA,3018
BridgeTalk,1987 - Jeffrey G. Bonar and Blaise W. Liffick,3019
DDF,2016 - NA,3020
DEMETER,1995 - NA,3021
Dribble,2003 - NA,3022
ETC,1971 - NA,3023
Fable,1983 - NA,3024
Generic Expression Language,2008 - NA,3025
GLOSS,1971 - NA,3026
Herbrand,1995 - NA,3027
JACL,1997 - Ioi K. Lam and Brian Smith,3028
KB,1990 - NA,3029
LESK,1975 - NA,3030
Lisp Object-Oriented Programming System,1983 - NA,3031
MENDEL,1985 - NA,3032
nML,1991 - NA,3033
Patchwork,1996 - Ronen Barzel and David Salesin,3034
PLAN2D,1976 - NA,3035
Pluk,1995 - Bart van der Werf,3036
RLISP,1970 - NA,3037
SCROLL,1970 - NA,3038
sh,1971 - NA,3039
Tick C,1997 - NA,3040
Tiki Wiki Markup,2002 - NA,3041
topaz,2011 - NA,3042
torchscript,2018 - NA,3043
Tutorial D,1994 - NA,3044
AMTRAN,1966 - NA,3045
ANNA,1987 - NA,3046
APL-GPSS,1988 - NA,3047
aQasm,2017 - NA,3048
Arc Assembly,1947 - Kathleen Booth,3049
bawk,1994 - Bob Brodt,3050
BIRD,2021 - NA,3051
CDL++,1999 - Christian Hochberger,3052
CMIX,1980 - Paul Lansky,3053
